Episode: 266, Total reward:-20.0, Explore P: 0.6804331257164786, loss: 29.7164
Episode: 267, Total reward:-21.0, Explore P: 0.6785084153217076, loss: 2.5090513
Episode: 268, Total reward:-18.0, Explore P: 0.6765838543420526, loss: 0.111439906
Episode: 269, Total reward:-21.0, Explore P: 0.6746573173578466, loss: 23.157627
Episode: 270, Total reward:-19.0, Explore P: 0.6727311465204879, loss: 67.61212
Episode: 271, Total reward:-19.0, Explore P: 0.670803571918682, loss: 80.22648
Episode: 272, Total reward:-20.0, Explore P: 0.6688755330290165, loss: 1.99634
Episode: 273, Total reward:-19.0, Explore P: 0.6669458651956964, loss: 117.86627
Episode: 274, Total reward:-21.0, Explore P: 0.6650155445943283, loss: 28.188679
Episode: 275, Total reward:-20.0, Explore P: 0.6630860922007454, loss: 9.651285
Episode: 276, Total reward:-21.0, Explore P: 0.6611555856374863, loss: 0.14184247
Episode: 277, Total reward:-20.0, Explore P: 0.6592251155807103, loss: 46.202126
Episode: 278, Total reward:-21.0, Explore P: 0.6572945433624311, loss: 231.07141
Episode: 279, Total reward:-20.0, Explore P: 0.6553639159742553, loss: 12.984662
Episode: 280, Total reward:-18.0, Explore P: 0.6534332691786143, loss: 0.4738012
Episode: 281, Total reward:-19.0, Explore P: 0.6514998646788772, loss: 9.165077
Episode: 282, Total reward:-20.0, Explore P: 0.6495660810626359, loss: 2.5295413
Episode: 283, Total reward:-21.0, Explore P: 0.6476329664630044, loss: 0.7697873
Episode: 284, Total reward:-21.0, Explore P: 0.6457001468654201, loss: 56.954754
Episode: 285, Total reward:-21.0, Explore P: 0.6437679771731898, loss: 9.092601
Episode: 286, Total reward:-20.0, Explore P: 0.641836065398512, loss: 48.551533
Episode: 287, Total reward:-21.0, Explore P: 0.6399047436362665, loss: 1.1563035
Episode: 288, Total reward:-21.0, Explore P: 0.6379739147138409, loss: 3.3221862
Episode: 289, Total reward:-20.0, Explore P: 0.6360426792269663, loss: 6.6900635
Episode: 290, Total reward:-21.0, Explore P: 0.6341119190971556, loss: 1.2057087
Episode: 291, Total reward:-20.0, Explore P: 0.6321817590409085, loss: 13.098574
Episode: 292, Total reward:-20.0, Explore P: 0.6302520891252303, loss: 21.051945
Episode: 293, Total reward:-20.0, Explore P: 0.628322257300917, loss: 0.73369205
Episode: 294, Total reward:-21.0, Explore P: 0.6263935639114163, loss: 5.077649
Episode: 295, Total reward:-20.0, Explore P: 0.6244664202184105, loss: 6.5221796
Episode: 296, Total reward:-20.0, Explore P: 0.6225391312213328, loss: 69.54442
Episode: 297, Total reward:-20.0, Explore P: 0.6206127188110225, loss: 32.865395
